name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
ibm,ibm.com,1911,information technology and services,10001+,"new york, new york, united states",united states,linkedin.com/company/ibm,274047,716906
tata consultancy services,tcs.com,1968,information technology and services,10001+,"bombay, maharashtra, india",india,linkedin.com/company/tata-consultancy-services,190771,341369
accenture,accenture.com,1989,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
us army,goarmy.com,1800,military,10001+,"alexandria, virginia, united states",united states,linkedin.com/company/us-army,162163,445958
ey,ey.com,1989,accounting,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/ernstandyoung,158363,428960
hewlett-packard,hpe.com,1939,information technology and services,10001+,"palo alto, california, united states",united states,linkedin.com/company/hewlett-packard-enterprise,127952,412952
cognizant technology solutions,cognizant.com,1994,information technology and services,10001+,"teaneck, new jersey, united states",united states,linkedin.com/company/cognizant,122031,210020
walmart,walmartcareers.com,1962,retail,10001+,"withee, wisconsin, united states",united states,linkedin.com/company/walmart,120753,272827
microsoft,microsoft.com,1975,computer software,10001+,"redmond, washington, united states",united states,linkedin.com/company/microsoft,116196,276983
at&t,att.com,1876,telecommunications,10001+,"dallas, texas, united states",united states,linkedin.com/company/at&t,115188,269659
united states air force,airforce.com,1947,defense & space,10001+,"randolph, texas, united states",united states,linkedin.com/company/united-states-air-force,113997,316549
pwc,pwc.com,1998,accounting,10001+,"new york, new york, united states",united states,linkedin.com/company/pwc,111372,379447
wells fargo,wellsfargo.com,,financial services,10001+,"san francisco, california, united states",united states,linkedin.com/company/wellsfargo,109532,264101
infosys,infosys.com,1981,information technology and services,10001+,"bangalore, karnataka, india",india,linkedin.com/company/infosys,104752,215718
deloitte,deloitte.com,1900,management consulting,10001+,"new york, new york, united states",united states,linkedin.com/company/deloitte,104112,329145
citi,citigroup.com,1812,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/citi,101482,298171
bank of america,bankofamerica.com,1968,banking,10001+,"charlotte, north carolina, united states",united states,linkedin.com/company/bank-of-america,97357,279769
jpmorgan chase & co.,jpmorganchase.com,1823,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/jpmorgan-chase,95234,242135
us navy,navy.com,,military,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/us-navy,94458,325740
amazon,amazon.com,1994,internet,10001+,"seattle, washington, united states",united states,linkedin.com/company/amazon,93247,161866
apple,apple.com,1976,consumer electronics,10001+,"cupertino, california, united states",united states,linkedin.com/company/apple,90095,179531
siemens,siemens.com,1847,electrical/electronic manufacturing,10001+,"munich, bavaria, germany",germany,linkedin.com/company/siemens,87381,240528
oracle,oracle.com,1977,information technology and services,10001+,"redwood shores, california, united states",united states,linkedin.com/company/oracle,85090,206211
nokia,nokia.com,1865,telecommunications,10001+,"espoo, uusimaa, finland",finland,linkedin.com/company/nokia,84327,251795
education nationale,education.gouv.fr,,public policy,10001+,"paris, île-de-france, france",france,linkedin.com/company/education-nationale,84218,101083
capgemini,capgemini.com,1967,information technology and services,10001+,"france, aquitaine, france",france,linkedin.com/company/capgemini,84179,203525
wipro technologies,wipro.com,1945,information technology and services,10001+,"bangalore, karnataka, india",india,linkedin.com/company/wipro,78261,177368
hsbc,hsbc.com,1865,financial services,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/hsbc,75640,225649
google,google.com,1998,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/google,75109,131349
united states postal service,usps.com,,government administration,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/usps,74357,104159
mcdonald's corporation,aboutmcdonalds.com,1955,restaurants,10001+,"oak brook, illinois, united states",united states,linkedin.com/company/mcdonald's-corporation,68233,235199
ericsson,ericsson.com,,information technology and services,10001+,"kista, stockholm, sweden",sweden,linkedin.com/company/ericsson,67692,178578
nhs,,1948,hospital & health care,10001+,,,linkedin.com/company/nhs,67564,92596
boeing,boeing.com,1916,aviation & aerospace,10001+,"chicago, illinois, united states",united states,linkedin.com/company/boeing,67261,120776
